NC_009925,Acaryochloris marina
NC_017295,Clostridium acetobutylicum
NC_015687,Clostridium acetobutylicum
NC_003030,Clostridium acetobutylicum
NC_022592,Clostridium autoethanogenum
NC_009617,Clostridium beijerinckii
NC_009495,Clostridium botulinum
NC_009697,Clostridium botulinum
NC_009699,Clostridium botulinum
NC_010516,Clostridium botulinum
NC_010520,Clostridium botulinum
NC_010674,Clostridium botulinum
NC_010723,Clostridium botulinum
NC_012563,Clostridium botulinum
NC_012658,Clostridium botulinum
NC_017297,Clostridium botulinum
NC_015425,Clostridium botulinum
NC_017299,Clostridium botulinum
NC_009698,Clostridium botulinum
NC_014393,Clostridium cellulovorans
NC_011837,Clostridium kluyveri
NC_009706,Clostridium kluyveri
NC_014328,Clostridium ljungdahlii
NC_008593,Clostridium novyi
NC_021182,Clostridium pasteurianum
NC_008261,Clostridium perfringens
NC_008262,Clostridium perfringens
NC_003366,Clostridium perfringens
NC_022571,Clostridium saccharobutylicum
NC_020291,Clostridium saccharoperbutylacetonicum
NC_016791,Clostridium sp. BNL1100
NC_015737,Clostridium sp. SY8519
NC_022777,Clostridium tetani
NC_004557,Clostridium tetani
NC_015856,Collimonas fungivorans
NC_003910,Colwellia psychrerythraea
NC_013446,Comamonas testosteroni
NC_013739,Conexibacter woesei
NC_011295,Coprothermobacter proteolyticus
NC_014008,Coraliomargarita akajimensis
NC_017030,Corallococcus coralloides
NC_015389,Coriobacterium glomerans
NC_022198,Corynebacterium argentoratense
NC_012590,Corynebacterium aurimucosum
NC_020506,Corynebacterium callunae
NC_016782,Corynebacterium diphtheriae
NC_016783,Corynebacterium diphtheriae
NC_016785,Corynebacterium diphtheriae
NC_016787,Corynebacterium diphtheriae
NC_016789,Corynebacterium diphtheriae
NC_016790,Corynebacterium diphtheriae
NC_016800,Corynebacterium diphtheriae
NC_016801,Corynebacterium diphtheriae
NC_016802,Corynebacterium diphtheriae
NC_016786,Corynebacterium diphtheriae
NC_016788,Corynebacterium diphtheriae
NC_016799,Corynebacterium diphtheriae
NC_002935,Corynebacterium diphtheriae
NC_004369,Corynebacterium efficiens
NC_020519,Corynebacterium glutamicum
NC_009342,Corynebacterium glutamicum
NC_022040,Corynebacterium glutamicum
NC_021351,Corynebacterium glutamicum
NC_021352,Corynebacterium glutamicum
NC_003450,Corynebacterium glutamicum
NC_006958,Corynebacterium glutamicum
NC_020302,Corynebacterium halotolerans
NC_007164,Corynebacterium jeikeium
NC_012704,Corynebacterium kroppenstedtii
NC_021915,Corynebacterium maris
NC_016781,Corynebacterium pseudotuberculosis
NC_017300,Corynebacterium pseudotuberculosis
NC_017301,Corynebacterium pseudotuberculosis
NC_017303,Corynebacterium pseudotuberculosis
NC_017305,Corynebacterium pseudotuberculosis
NC_017462,Corynebacterium pseudotuberculosis
NC_017730,Corynebacterium pseudotuberculosis
NC_017306,Corynebacterium pseudotuberculosis
NC_017307,Corynebacterium pseudotuberculosis
NC_017308,Corynebacterium pseudotuberculosis
NC_017945,Corynebacterium pseudotuberculosis
NC_014329,Corynebacterium pseudotuberculosis
NC_016932,Corynebacterium pseudotuberculosis
NC_017031,Corynebacterium pseudotuberculosis
NC_018019,Corynebacterium pseudotuberculosis
NC_015673,Corynebacterium resistens
NC_021663,Corynebacterium terpenotabidum
NC_017317,Corynebacterium ulcerans
NC_015683,Corynebacterium ulcerans
NC_018101,Corynebacterium ulcerans
NC_020230,Corynebacterium urealyticum
NC_010545,Corynebacterium urealyticum
NC_015859,Corynebacterium variabile
NC_009727,Coxiella burnetii
NC_010117,Coxiella burnetii
NC_011528,Coxiella burnetii
NC_011527,Coxiella burnetii
NC_002971,Coxiella burnetii
NC_019753,Crinalium epipsammum
NC_014230,Croceibacter atlanticus
NC_009778,Cronobacter sakazakii
NC_017933,Cronobacter sakazakii
NC_020260,Cronobacter sakazakii
NC_023032,Cronobacter sakazakii
NC_013282,Cronobacter turicensis
NC_013170,Cryptobacterium curtum
NC_007973,Cupriavidus metallidurans
NC_008313,Cupriavidus necator
NC_008314,Cupriavidus necator
NC_015726,Cupriavidus necator
NC_015723,Cupriavidus necator
NC_007348,Cupriavidus pinatubonensis
NC_007347,Cupriavidus pinatubonensis
NC_010528,Cupriavidus taiwanensis
NC_010530,Cupriavidus taiwanensis
NC_019776,Cyanobacterium aponinum
NC_019778,Cyanobacterium stanieri
NC_019675,Cyanobium gracile
NC_010547,Cyanothece sp. ATCC 51142
NC_010546,Cyanothece sp. ATCC 51142
NC_011729,Cyanothece sp. PCC 7424
NC_011884,Cyanothece sp. PCC 7425
NC_014501,Cyanothece sp. PCC 7822
NC_011726,Cyanothece sp. PCC 8801
NC_013161,Cyanothece sp. PCC 8802
NC_015914,Cyclobacterium marinum
NC_018697,Cycloclasticus sp. P1
NC_021917,Cycloclasticus zancles
NC_019757,Cylindrospermum stagnale
NC_008255,Cytophaga hutchinsonii
NC_019780,Dactylococcopsis salina
NC_007298,Dechloromonas aromatica
NC_013939,Deferribacter desulfuricans
NC_018867,Dehalobacter sp. CF
NC_018866,Dehalobacter sp. DCA
NC_009455,Dehalococcoides mccartyi
NC_013552,Dehalococcoides mccartyi
NC_013890,Dehalococcoides mccartyi
NC_020386,Dehalococcoides mccartyi
NC_020387,Dehalococcoides mccartyi
NC_022964,Dehalococcoides mccartyi
NC_002936,Dehalococcoides mccartyi
NC_007356,Dehalococcoides mccartyi
NC_014314,Dehalogenimonas lykanthroporepellens
NC_012526,Deinococcus deserti
NC_008025,Deinococcus geothermalis
NC_017790,Deinococcus gobiensis
NC_014958,Deinococcus maricopensis
NC_019793,Deinococcus peraridilitoris
NC_015161,Deinococcus proteolyticus
NC_001263,Deinococcus radiodurans
NC_001264,Deinococcus radiodurans
NC_010002,Delftia acidovorans
NC_015563,Delftia sp. Cs1-4
NC_013943,Denitrovibrio acetiphilus
NC_014365,Desulfarculus baarsii
NC_011768,Desulfatibacillum alkenivorans
NC_018017,Desulfitobacterium dehalogenans
NC_019903,Desulfitobacterium dichloroeliminans
NC_011830,Desulfitobacterium hafniense
NC_007907,Desulfitobacterium hafniense
NC_015388,Desulfobacca acetoxidans
NC_012108,Desulfobacterium autotrophicum
NC_018645,Desulfobacula toluolica
NC_014972,Desulfobulbus propionicus
NC_020304,Desulfocapsa sulfexigens
NC_009943,Desulfococcus oleovorans
NC_013223,Desulfohalobium retbaense
NC_013173,Desulfomicrobium baculatum
NC_018025,Desulfomonile tiedjei
NC_018068,Desulfosporosinus acidiphilus
NC_018515,Desulfosporosinus meridiei
NC_016584,Desulfosporosinus orientis
NC_006138,Desulfotalea psychrophila
NC_013216,Desulfotomaculum acetoxidans
NC_015565,Desulfotomaculum carboxydivorans
NC_021184,Desulfotomaculum gibsoniae
NC_015573,Desulfotomaculum kuznetsovii
NC_009253,Desulfotomaculum reducens
NC_015589,Desulfotomaculum ruminis
NC_014844,Desulfovibrio aespoeensis
NC_016629,Desulfovibrio africanus
NC_007519,Desulfovibrio alaskensis
NC_011883,Desulfovibrio desulfuricans
NC_016803,Desulfovibrio desulfuricans
NC_020055,Desulfovibrio hydrothermalis
NC_022579,Desulfovibrio hydrothermalis
NC_012796,Desulfovibrio magneticus
NC_020409,Desulfovibrio piezophilus
NC_012881,Desulfovibrio salexigens
NC_008751,Desulfovibrio vulgaris
NC_011769,Desulfovibrio vulgaris
NC_017310,Desulfovibrio vulgaris
NC_002937,Desulfovibrio vulgaris
NC_014836,Desulfurispirillum indicum
NC_014216,Desulfurivibrio alkaliphilus
NC_015185,Desulfurobacterium thermolithotrophum
NC_009446,Dichelobacter nodosus
NC_012880,Dickeya dadantii
NC_013592,Dickeya dadantii
NC_014500,Dickeya dadantii
NC_012912,Dickeya zeae
NC_011297,Dictyoglomus thermophilum
NC_011661,Dictyoglomus turgidum
NC_009952,Dinoroseobacter shibae
NC_015496,Dokdonia sp. 4H-3-7-5
NC_013037,Dyadobacter fermentans
NC_019904,Echinicola vietnamensis
NC_012779,Edwardsiella ictaluri
NC_020796,Edwardsiella piscicida
NC_013508,Edwardsiella tarda
NC_017309,Edwardsiella tarda
NC_013204,Eggerthella lenta
NC_015738,Eggerthella sp. YY7918
NC_007354,Ehrlichia canis
NC_007799,Ehrlichia chaffeensis
NC_023063,Ehrlichia muris
NC_005295,Ehrlichia ruminantium
NC_006832,Ehrlichia ruminantium
NC_006831,Ehrlichia ruminantium
NC_010644,Elusimicrobium minutum
NC_018748,Emticicia oligotrophica
NC_015663,Enterobacter aerogenes
NC_020181,Enterobacter aerogenes
NC_015968,Enterobacter asburiae
NC_016514,Enterobacter cloacae
NC_018079,Enterobacter cloacae
NC_018405,Enterobacter cloacae
NC_014121,Enterobacter cloacae
NC_014618,Enterobacter lignolyticus
NC_009436,Enterobacter sp. 638
NC_021500,Enterobacter sp. R4-368
NC_020063,Enterobacteriaceae bacterium strain FGI 57
NC_020995,Enterococcus casseliflavus
NC_017316,Enterococcus faecalis
NC_017312,Enterococcus faecalis
NC_018221,Enterococcus faecalis
NC_019770,Enterococcus faecalis
NC_004668,Enterococcus faecalis
NC_017960,Enterococcus faecium
NC_020207,Enterococcus faecium
NC_017022,Enterococcus faecium
NC_021994,Enterococcus faecium
NC_018081,Enterococcus hirae
NC_022878,Enterococcus mundtii
NC_013961,Erwinia amylovora
NC_013971,Erwinia amylovora
NC_014306,Erwinia billingiae
NC_012214,Erwinia pyrifoliae
NC_017390,Erwinia pyrifoliae
NC_017445,Erwinia sp. Ejp617
NC_010694,Erwinia tasmaniensis
NC_015601,Erysipelothrix rhusiopathiae
NC_007722,Erythrobacter litoralis
NC_007946,Escherichia coli
NC_008563,Escherichia coli
NC_009801,Escherichia coli
NC_010468,Escherichia coli
NC_010498,Escherichia coli
NC_011993,Escherichia coli
NC_012947,Escherichia coli
NC_017625,Escherichia coli
NC_017632,Escherichia coli
NC_017641,Escherichia coli
NC_017644,Escherichia coli
NC_017646,Escherichia coli
NC_016902,Escherichia coli
NC_017626,Escherichia coli
NC_017638,Escherichia coli
NC_017656,Escherichia coli
NC_009800,Escherichia coli
NC_010473,Escherichia coli
NC_017633,Escherichia coli
NC_007779,Escherichia coli
NC_011415,Escherichia coli
NC_011741,Escherichia coli
NC_011742,Escherichia coli
NC_011745,Escherichia coli
NC_011748,Escherichia coli
NC_012759,Escherichia coli
NC_012967,Escherichia coli
NC_013008,Escherichia coli
NC_013353,Escherichia coli
NC_013361,Escherichia coli
NC_013364,Escherichia coli
NC_017660,Escherichia coli
NC_017635,Escherichia coli
NC_017664,Escherichia coli
NC_017631,Escherichia coli
NC_012892,Escherichia coli
NC_012971,Escherichia coli
NC_013654,Escherichia coli
NC_020518,Escherichia coli
NC_013941,Escherichia coli
NC_017628,Escherichia coli
NC_017651,Escherichia coli
NC_017652,Escherichia coli
NC_017663,Escherichia coli
NC_017906,Escherichia coli
NC_018661,Escherichia coli
NC_018650,Escherichia coli
NC_020163,Escherichia coli
NC_022364,Escherichia coli
NC_022370,Escherichia coli
NC_022648,Escherichia coli
NC_000913,Escherichia coli
NC_011751,Escherichia coli
NC_011750,Escherichia coli
NC_017634,Escherichia coli
NC_018658,Escherichia coli
NC_002655,Escherichia coli
NC_002695,Escherichia coli
NC_004431,Escherichia coli
NC_008253,Escherichia coli
NC_011353,Escherichia coli
NC_011601,Escherichia coli
NC_011740,Escherichia fergusonii
NC_014828,Ethanoligenens harbinense
NC_014624,Eubacterium limosum
NC_012781,Eubacterium rectale
NC_018665,Exiguobacterium antarcticum
NC_010556,Exiguobacterium sibiricum
NC_012673,Exiguobacterium sp. AT1b
NC_022794,Exiguobacterium sp. MH3
NC_021042,Faecalibacterium prausnitzii
NC_014541,Ferrimonas balearica
NC_009718,Fervidobacterium nodosum
NC_017095,Fervidobacterium pennivorans
NC_017448,Fibrobacter succinogenes
NC_013410,Fibrobacter succinogenes
NC_016630,Filifactor alocis
NC_010376,Finegoldia magna
NC_013062,Flavobacteriaceae bacterium 3519-10
NC_016001,Flavobacterium branchiophilum
NC_016510,Flavobacterium columnare
NC_017025,Flavobacterium indicum
NC_009441,Flavobacterium johnsoniae
NC_009613,Flavobacterium psychrophilum
NC_018018,Flexibacter litoralis
NC_015672,Flexistipes sinusarabici
NC_015321,Fluviicola taffensis
NC_017909,Francisella noatunensis
NC_023029,Francisella noatunensis
NC_010336,Francisella philomiragia
NC_015696,Francisella sp. TX077308
NC_007880,Francisella tularensis
NC_008245,Francisella tularensis
NC_008369,Francisella tularensis
NC_009257,Francisella tularensis
NC_009749,Francisella tularensis
NC_010677,Francisella tularensis
NC_017450,Francisella tularensis
NC_017453,Francisella tularensis
NC_017449,Francisella tularensis
NC_019551,Francisella tularensis
NC_019537,Francisella tularensis
NC_008601,Francisella tularensis
NC_016933,Francisella tularensis
NC_016937,Francisella tularensis
NC_006570,Francisella tularensis
NC_008278,Frankia alni
NC_007777,Frankia sp. CcI3
NC_009921,Frankia sp. EAN1pec
NC_014666,Frankia sp. EuI1c
NC_015656,Frankia symbiont of Datisca glomerata
NC_017033,Frateuria aurantia
NC_021038,Fretibacterium fastidiosum
NC_021281,Fusobacterium nucleatum
NC_022196,Fusobacterium nucleatum
NC_003454,Fusobacterium nucleatum
NC_015460,Gallibacterium anatis
NC_014394,Gallionella capsiferriformans
NC_017456,Gardnerella vaginalis
NC_013721,Gardnerella vaginalis
NC_014644,Gardnerella vaginalis
NC_019703,Geitlerinema sp. PCC 7407
NC_012489,Gemmatimonas aurantiaca
NC_006510,Geobacillus kaustophilus
NC_014206,Geobacillus sp. C56-T3
NC_020210,Geobacillus sp. GHH01
NC_022080,Geobacillus sp. JF8
NC_012793,Geobacillus sp. WCH70
NC_014650,Geobacillus sp. Y4.1MC1
NC_014915,Geobacillus sp. Y412MC52
NC_013411,Geobacillus sp. Y412MC61
NC_009328,Geobacillus thermodenitrificans
NC_015660,Geobacillus thermoglucosidasius
NC_016593,Geobacillus thermoleovorans
NC_011146,Geobacter bemidjiensis
NC_011979,Geobacter daltonii
NC_010814,Geobacter lovleyi
NC_007517,Geobacter metallireducens
NC_014973,Geobacter sp. M18
NC_012918,Geobacter sp. M21
NC_017454,Geobacter sulfurreducens
NC_002939,Geobacter sulfurreducens
NC_009483,Geobacter uraniireducens
NC_013757,Geodermatophilus obscurus
NC_016041,Glaciecola nitratireducens
NC_020514,Glaciecola psychrophila
NC_015497,Glaciecola sp. 4H-3-7+YE-5
NC_022600,Gloeobacter kilaueensis
NC_005125,Gloeobacter violaceus
NC_019745,Gloeocapsa sp. PCC 7428
NC_011365,Gluconacetobacter diazotrophicus
NC_010125,Gluconacetobacter diazotrophicus
NC_019396,Gluconobacter oxydans
NC_006677,Gluconobacter oxydans
NC_013441,Gordonia bronchialis
NC_016906,Gordonia polyisoprenivorans
NC_018581,Gordonia sp. KTR9
NC_018664,Gottschalkia acidurici
NC_008571,Gramella forsetii
NC_008343,Granulibacter bethesdensis
NC_016631,Granulicella mallensis
NC_015064,Granulicella tundricola
NC_002940,Haemophilus ducreyi
NC_009567,Haemophilus influenzae
NC_007146,Haemophilus influenzae
NC_016809,Haemophilus influenzae
NC_014920,Haemophilus influenzae
NC_014922,Haemophilus influenzae
NC_017452,Haemophilus influenzae
NC_009566,Haemophilus influenzae
NC_022356,Haemophilus influenzae
NC_017451,Haemophilus influenzae
NC_000907,Haemophilus influenzae
NC_015964,Haemophilus parainfluenzae
NC_011852,Haemophilus parasuis
NC_021521,Haemophilus parasuis
NC_007645,Hahella chejuensis
NC_014654,Halanaerobium hydrogeniformans
NC_017455,Halanaerobium praevalens
NC_013440,Haliangium ochraceum
NC_015510,Haliscomenobacter hydrossis
NC_017668,Halobacillus halophilus
NC_019978,Halobacteroides halobius
NC_014532,Halomonas elongata
NC_008789,Halorhodospira halophila
NC_019779,Halothece sp. PCC 7418
NC_011899,Halothermothrix orenii
NC_013422,Halothiobacillus neapolitanus
NC_022547,Halyomorpha halys symbiont
NC_008229,Helicobacter acinonychis
NC_015674,Helicobacter bizzozeronii
NC_017735,Helicobacter cetorum
NC_017737,Helicobacter cetorum
NC_017761,Helicobacter cinaedi
NC_020555,Helicobacter cinaedi
NC_014810,Helicobacter felis
NC_004917,Helicobacter hepaticus
NC_013949,Helicobacter mustelae
NC_008086,Helicobacter pylori
NC_011333,Helicobacter pylori
NC_011498,Helicobacter pylori
NC_012973,Helicobacter pylori
NC_014256,Helicobacter pylori
NC_017354,Helicobacter pylori
NC_017357,Helicobacter pylori
NC_017358,Helicobacter pylori
NC_017359,Helicobacter pylori
NC_017360,Helicobacter pylori
NC_017362,Helicobacter pylori
NC_017365,Helicobacter pylori
NC_017366,Helicobacter pylori
NC_017368,Helicobacter pylori
NC_017371,Helicobacter pylori
NC_017372,Helicobacter pylori
NC_017361,Helicobacter pylori
NC_017374,Helicobacter pylori
NC_017375,Helicobacter pylori
NC_017376,Helicobacter pylori
NC_017378,Helicobacter pylori
NC_017379,Helicobacter pylori
NC_017381,Helicobacter pylori
NC_017367,Helicobacter pylori
NC_017733,Helicobacter pylori
NC_017739,Helicobacter pylori
NC_017740,Helicobacter pylori
NC_017741,Helicobacter pylori
NC_017742,Helicobacter pylori
NC_017382,Helicobacter pylori
NC_017926,Helicobacter pylori
NC_018937,Helicobacter pylori
NC_018939,Helicobacter pylori
NC_018938,Helicobacter pylori
NC_019560,Helicobacter pylori
NC_019563,Helicobacter pylori
NC_020508,Helicobacter pylori
NC_020509,Helicobacter pylori
NC_014555,Helicobacter pylori
NC_014560,Helicobacter pylori
NC_017063,Helicobacter pylori
NC_010698,Helicobacter pylori
NC_017355,Helicobacter pylori
NC_022130,Helicobacter pylori
NC_021217,Helicobacter pylori
NC_021218,Helicobacter pylori
NC_021215,Helicobacter pylori
NC_021216,Helicobacter pylori
NC_021882,Helicobacter pylori
NC_022886,Helicobacter pylori
NC_022911,Helicobacter pylori
NC_000915,Helicobacter pylori
NC_000921,Helicobacter pylori
NC_010337,Heliobacterium modesticaldum
NC_014323,Herbaspirillum seropedicae
NC_009138,Herminiimonas arsenicoxydans
NC_009972,Herpetosiphon aurantiacus
NC_015318,Hippea maritima
NC_012982,Hirschia baltica
NC_008309,Histophilus somni
NC_010519,Histophilus somni
NC_013799,Hydrogenobacter thermophilus
NC_017161,Hydrogenobacter thermophilus
NC_020411,Hydrogenobaculum sp. HO
NC_020814,Hydrogenobaculum sp. SN
NC_011126,Hydrogenobaculum sp. Y04AAS1
NC_014313,Hyphomicrobium denitrificans
NC_021172,Hyphomicrobium denitrificans
NC_022997,Hyphomicrobium nitrativorans
NC_015717,Hyphomicrobium sp. MC1
NC_008358,Hyphomonas neptunium
NC_021286,Idiomarina loihiensis
NC_006512,Idiomarina loihiensis
NC_017464,Ignavibacterium album
NC_020520,Ilumatobacter coccineus
NC_014632,Ilyobacter polytropus
NC_014830,Intrasporangium calvum
NC_015588,Isoptericola variabilis
NC_014962,Isosphaera pallida
NC_007802,Jannaschia sp. CCS1
NC_009659,Janthinobacterium sp. Marseille
NC_013174,Jonesia denitrificans
NC_013166,Kangiella koreensis
NC_014625,Ketogulonicigenium vulgare
NC_017384,Ketogulonicigenium vulgare
NC_009664,Kineococcus radiotolerans
NC_019814,Kinetoplastibacterium blastocrithidii
NC_020285,Kinetoplastibacterium blastocrithidii
NC_016109,Kitasatospora setae
NC_018106,Klebsiella oxytoca
NC_016612,Klebsiella oxytoca
NC_012731,Klebsiella pneumoniae
NC_018522,Klebsiella pneumoniae
NC_017540,Klebsiella pneumoniae
NC_009648,Klebsiella pneumoniae
NC_011283,Klebsiella pneumoniae
NC_022082,Klebsiella pneumoniae
NC_022566,Klebsiella pneumoniae
NC_016845,Klebsiella pneumoniae
NC_013850,Klebsiella variicola
NC_010617,Kocuria rhizophila
NC_016027,Komagataeibacter medellinensis
NC_012785,Kosmotoga olearia
NC_013729,Kribbella flavida
NC_014098,Kyrpidia tusciae
NC_013169,Kytococcus sedentarius
NC_010001,Lachnoclostridium phytofermentans
NC_015638,Lacinutrix sp. 5H-3-7-4
NC_015214,Lactobacillus acidophilus
NC_021181,Lactobacillus acidophilus
NC_006814,Lactobacillus acidophilus
NC_017470,Lactobacillus amylovorus
NC_014724,Lactobacillus amylovorus
NC_008497,Lactobacillus brevis
NC_020819,Lactobacillus brevis
NC_018610,Lactobacillus buchneri
NC_015428,Lactobacillus buchneri
NC_017473,Lactobacillus casei
NC_018641,Lactobacillus casei
NC_021721,Lactobacillus casei
NC_008526,Lactobacillus casei
NC_010999,Lactobacillus casei
NC_014334,Lactobacillus casei
NC_017474,Lactobacillus casei
NC_014106,Lactobacillus crispatus
NC_008054,Lactobacillus delbrueckii
NC_017469,Lactobacillus delbrueckii
NC_014727,Lactobacillus delbrueckii
NC_008529,Lactobacillus delbrueckii
NC_010610,Lactobacillus fermentum
NC_017465,Lactobacillus fermentum
NC_021235,Lactobacillus fermentum
NC_008530,Lactobacillus gasseri
NC_017467,Lactobacillus helveticus
NC_018528,Lactobacillus helveticus
NC_010080,Lactobacillus helveticus
NC_021744,Lactobacillus helveticus
NC_013504,Lactobacillus johnsonii
NC_017477,Lactobacillus johnsonii
NC_005362,Lactobacillus johnsonii
NC_022909,Lactobacillus johnsonii
NC_015602,Lactobacillus kefiranofaciens
NC_022112,Lactobacillus paracasei
NC_020229,Lactobacillus plantarum
NC_014554,Lactobacillus plantarum
NC_021514,Lactobacillus plantarum
NC_012984,Lactobacillus plantarum
NC_021224,Lactobacillus plantarum
NC_004567,Lactobacillus plantarum
NC_010609,Lactobacillus reuteri
NC_015697,Lactobacillus reuteri
NC_009513,Lactobacillus reuteri
NC_021494,Lactobacillus reuteri
NC_021872,Lactobacillus reuteri
NC_013198,Lactobacillus rhamnosus
NC_013199,Lactobacillus rhamnosus
NC_017482,Lactobacillus rhamnosus
NC_017491,Lactobacillus rhamnosus
NC_021723,Lactobacillus rhamnosus
NC_021725,Lactobacillus rhamnosus
NC_015975,Lactobacillus ruminis
NC_007576,Lactobacillus sakei
NC_017481,Lactobacillus salivarius
NC_007929,Lactobacillus salivarius
NC_015978,Lactobacillus sanfranciscensis
NC_017490,Lactococcus garvieae
NC_015930,Lactococcus garvieae
NC_009004,Lactococcus lactis
NC_013656,Lactococcus lactis
NC_017486,Lactococcus lactis
NC_017492,Lactococcus lactis
NC_017949,Lactococcus lactis
NC_019435,Lactococcus lactis
NC_008527,Lactococcus lactis
NC_020450,Lactococcus lactis
NC_022369,Lactococcus lactis
NC_022593,Lactococcus lactis
NC_002662,Lactococcus lactis
NC_012559,Laribacter hongkongensis
NC_008011,Lawsonia intracellularis
NC_020127,Lawsonia intracellularis
NC_014655,Leadbetterella byssophila
NC_013861,Legionella longbeachae
NC_009494,Legionella pneumophila
NC_014125,Legionella pneumophila
NC_018139,Legionella pneumophila
NC_017525,Legionella pneumophila
NC_017526,Legionella pneumophila
NC_002942,Legionella pneumophila
NC_016811,Legionella pneumophila
NC_021350,Legionella pneumophila
NC_018140,Legionella pneumophila
NC_020521,Legionella pneumophila
NC_006369,Legionella pneumophila
NC_006368,Legionella pneumophila
NC_006087,Leifsonia xyli
NC_022438,Leifsonia xyli
NC_023135,Leisingera methylohalidivorans
NC_019683,Leptolyngbya sp. PCC 7376
NC_010843,Leptospira biflexa
NC_010842,Leptospira biflexa
NC_010845,Leptospira biflexa
NC_010602,Leptospira biflexa
NC_008510,Leptospira borgpetersenii
NC_008511,Leptospira borgpetersenii
NC_008508,Leptospira borgpetersenii
NC_008509,Leptospira borgpetersenii
NC_017551,Leptospira interrogans
NC_017552,Leptospira interrogans
NC_004342,Leptospira interrogans
NC_004343,Leptospira interrogans
NC_005824,Leptospira interrogans
NC_005823,Leptospira interrogans
NC_018649,Leptospirillum ferriphilum
NC_017094,Leptospirillum ferrooxidans
NC_010524,Leptothrix cholodnii
NC_013192,Leptotrichia buccalis
NC_018673,Leuconostoc carnosum
NC_010471,Leuconostoc citreum
NC_014319,Leuconostoc gasicomitatum
NC_018631,Leuconostoc gelidum
NC_014136,Leuconostoc kimchii
NC_016805,Leuconostoc mesenteroides
NC_008531,Leuconostoc mesenteroides
NC_015734,Leuconostoc sp. C2
NC_019907,Liberibacter crescens
NC_003212,Listeria innocua
NC_016011,Listeria ivanovii
NC_002973,Listeria monocytogenes
NC_011660,Listeria monocytogenes
NC_012488,Listeria monocytogenes
NC_013766,Listeria monocytogenes
NC_013768,Listeria monocytogenes
NC_017529,Listeria monocytogenes
NC_017544,Listeria monocytogenes
NC_017545,Listeria monocytogenes
NC_017728,Listeria monocytogenes
NC_018587,Listeria monocytogenes
NC_018588,Listeria monocytogenes
NC_018591,Listeria monocytogenes
NC_018590,Listeria monocytogenes
NC_018593,Listeria monocytogenes
NC_018584,Listeria monocytogenes
NC_018585,Listeria monocytogenes
NC_018586,Listeria monocytogenes
NC_018589,Listeria monocytogenes
NC_018642,Listeria monocytogenes
NC_020557,Listeria monocytogenes
NC_020558,Listeria monocytogenes
NC_017537,Listeria monocytogenes
NC_019556,Listeria monocytogenes
NC_017546,Listeria monocytogenes
NC_017547,Listeria monocytogenes
NC_018592,Listeria monocytogenes
NC_021829,Listeria monocytogenes
NC_022568,Listeria monocytogenes
NC_021825,Listeria monocytogenes
NC_021837,Listeria monocytogenes
NC_021824,Listeria monocytogenes
NC_021823,Listeria monocytogenes
NC_021838,Listeria monocytogenes
NC_021840,Listeria monocytogenes
NC_021827,Listeria monocytogenes
NC_021839,Listeria monocytogenes
NC_021826,Listeria monocytogenes
NC_021830,Listeria monocytogenes
NC_003210,Listeria monocytogenes
NC_013891,Listeria seeligeri
NC_008555,Listeria welshimeri
NC_010382,Lysinibacillus sphaericus
NC_011999,Macrococcus caseolyticus
NC_008576,Magnetococcus marinus
NC_023065,Magnetospirillum gryphiswaldense
NC_007626,Magnetospirillum magneticum
NC_015520,Mahella australiensis
NC_020833,Mannheimia haemolytica
NC_020834,Mannheimia haemolytica
NC_021082,Mannheimia haemolytica
NC_021743,Mannheimia haemolytica
NC_021738,Mannheimia haemolytica
NC_021739,Mannheimia haemolytica
NC_021883,Mannheimia haemolytica
NC_014472,Maribacter sp. HTCC2170
NC_008347,Maricaulis maris
NC_015387,Marinithermus hydrothermalis
NC_016751,Marinitoga piezophila
NC_017506,Marinobacter adhaerens
NC_008740,Marinobacter hydrocarbonoclasticus
NC_017067,Marinobacter hydrocarbonoclasticus
NC_018268,Marinobacter sp. BSs20148
NC_015276,Marinomonas mediterranea
NC_015559,Marinomonas posidonica
NC_009654,Marinomonas sp. MWYL1
NC_014759,Marivirga tractuosa
NC_015873,Megasphaera elsdenii
NC_013946,Meiothermus ruber
NC_014212,Meiothermus silvanus
NC_018178,Melioribacter roseus
NC_015516,Melissococcus plutonius
NC_016938,Melissococcus plutonius
NC_022583,Mesoplasma florum
NC_006055,Mesoplasma florum
NC_019973,Mesorhizobium australicum
NC_014923,Mesorhizobium ciceri
NC_002678,Mesorhizobium loti
NC_015675,Mesorhizobium opportunistum
NC_017934,Mesotoga prima
NC_010794,Methylacidiphilum infernorum
NC_008825,Methylibium petroleiphilum
NC_007947,Methylobacillus flagellatus
NC_011757,Methylobacterium extorquens
NC_010172,Methylobacterium extorquens
NC_012808,Methylobacterium extorquens
NC_012988,Methylobacterium extorquens
NC_011894,Methylobacterium nodulans
NC_010725,Methylobacterium populi
NC_010505,Methylobacterium radiotolerans
NC_010511,Methylobacterium sp. 4-46
NC_011666,Methylocella silvestris
NC_002977,Methylococcus capsulatus
NC_018485,Methylocystis sp. SC2
NC_016112,Methylomicrobium alcaliphilum
NC_015572,Methylomonas methanica
NC_017856,Methylophaga frappieri
NC_017857,Methylophaga nitratireducenticrescens
NC_012968,Methylotenera mobilis
NC_014207,Methylotenera versatilis
NC_012969,Methylovorus glucosotrophus
NC_014733,Methylovorus sp. MP688
